appeal_district,trial_district,offence,sentence,no_complainant,no_male_complainant,no_female_complainant,no_appealant,no_male_appealant,no_female_appealant,no_public_witness,no_eye_witness,no_defense_witness,scn_decision
North-Central,Missing,Trespassing,Appeal_granted,-1,-1,-1,1,1,0,7,0,2,Dismissed
Missing,Missing,Law_of_tort,Fine,-1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,North-West,Dispute,Payment_damages,-1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,South-South,Unlawful_possession,Missing,1,-1,-1,1,-1,-1,0,0,0,Granted
South-South,South-South,Unlawful_possession,Fine,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,Missing,Theft,Prison_term,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,South-East,Murder_manslaughter,Death,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Armed_robbery,Prison_term,-1,-1,-1,1,1,0,7,0,1,Granted
South-West,South-West,Claim_for_recovery,Missing,-1,-1,-1,1,1,0,0,0,0,Granted
North-Central,North-East,Trespassing,Appeal_granted,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,South-West,Dispute,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
South-West,Missing,Theft,Prison_term,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,Missing,Missing,Appeal_granted,-1,-1,-1,-1,-1,-1,5,0,5,Granted
Missing,South-West,Missing,Payment_damages,1,1,0,-1,-1,-1,0,0,0,Dismissed
North-Central,North-Central,Missing,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Granted
South-West,South-West,Theft,Missing,1,0,1,1,0,1,0,0,0,Dismissed
North-Central,North-Central,Missing,Missing,1,1,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Damage_property,Prison_term_fine,-1,-1,-1,1,1,0,2,0,2,Granted
Missing,South-South,Murder_manslaughter,Death,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-West,South-West,Missing,Missing,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Murder_manslaughter,Prison_term,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,South-West,Murder_manslaughter,Death,-1,-1,-1,1,1,0,4,0,0,Granted
South-West,South-West,Murder_manslaughter,Prison_term,-1,-1,-1,1,1,0,4,0,0,Dismissed
Missing,North-Central,Murder_manslaughter,Death,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,North-Central,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,5,0,0,Granted
Missing,FCT,Missing,Missing,-1,-1,-1,1,1,0,4,0,6,Dismissed
Missing,North-East,Law_of_tort,Appeal_granted,1,1,0,1,1,0,0,0,0,Granted
Missing,North-East,Missing,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,South-West,Missing,Missing,-1,-1,-1,1,1,0,2,0,1,Dismissed
North-Central,North-Central,Unlawful_possession,Fine,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
North-West,North-West,Missing,Missing,1,1,0,1,1,0,0,0,0,Dismissed
North-West,Missing,Missing,Missing,1,1,0,1,1,0,0,0,0,Dismissed
Missing,South-West,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,Missing,Missing,Missing,-1,-1,-1,2,2,0,0,0,0,Dismissed
South-West,South-West,Missing,Appeal_granted,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
FCT,North-Central,Armed_robbery,Prison_term,-1,-1,-1,-1,-1,-1,1,0,2,Dismissed
South-West,South-West,Rape_sexual_abuse,Prison_term,-1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,Missing,Trespassing,Fine,-1,-1,-1,1,1,0,9,0,1,Granted
Missing,Missing,Missing,Missing,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,North-West,Murder_manslaughter,Prison_term,1,0,1,-1,-1,-1,0,0,0,Granted
North-West,North-West,Armed_robbery,Death,-1,-1,-1,1,1,0,5,0,1,Dismissed
North-Central,Missing,Rape_sexual_abuse,Prison_term,-1,-1,-1,1,1,0,5,0,4,Dismissed
Missing,North-West,Armed_robbery,Death,1,0,1,1,1,0,4,0,0,Granted
North-Central,North-East,Theft,Missing,-1,-1,-1,1,1,0,6,0,1,Dismissed
FCT,Missing,Missing,Missing,1,1,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Missing,Missing,1,1,0,1,1,0,0,0,0,Granted
North-Central,FCT,Wrongful_accusations,Appeal_granted,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
FCT,FCT,Missing,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,North-Central,Unlawful_termination_appointment,Payment_damages,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
North-West,North-West,Missing,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Armed_robbery,Death,1,1,0,1,1,0,0,0,0,Dismissed
Missing,North-Central,Armed_robbery,Prison_term,-1,-1,-1,1,1,0,6,0,2,Granted
Missing,North-West,Murder_manslaughter,Death,1,1,0,1,1,0,0,1,0,Dismissed
South-West,South-West,Armed_robbery,Death,-1,-1,0,1,1,0,4,1,2,Dismissed
Missing,Missing,Theft,Payment_damages,1,1,0,1,1,0,1,3,1,Dismissed
South-West,South-West,Trespassing,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,North-West,Murder_manslaughter,Prison_term,-1,-1,-1,1,-1,-1,0,0,0,Granted
Missing,South-West,Missing,Payment_damages,-1,-1,-1,1,1,0,1,0,5,Dismissed
Missing,South-West,Missing,Payment_damages,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-West,Missing,Trespassing,Fine,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,South-West,Others,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Others,Fine,1,1,0,-1,-1,-1,0,0,0,Dismissed
Missing,South-West,Human_rights_violation,Payment_damages,1,1,0,1,1,0,0,0,0,Granted
Missing,South-West,Theft,Payment_damages,-1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,South-West,Theft,Payment_damages,1,1,0,1,1,0,0,0,0,Granted
Missing,Missing,Murder_manslaughter,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,Missing,Unlawful_termination_appointment,Fine,-1,-1,-1,1,1,0,1,1,0,Dismissed
South-West,South-West,Human_rights_violation,Payment_damages,1,0,1,1,0,1,0,0,0,Granted
South-West,Missing,Missing,Missing,1,0,1,1,0,1,6,0,3,Dismissed
Missing,FCT,Wrongful_accusations,Payment_damages,2,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Missing,Missing,1,1,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Fraud_impersonation,Missing,1,-1,-1,1,-1,-1,0,0,0,Granted
Missing,South-East,Others,Payment_damages,1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,South-West,Curroption_abuse_office,Missing,1,1,0,1,1,0,0,0,0,Granted
Missing,Missing,Others,Missing,1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,South-West,Fraud_impersonation,Fine,1,1,0,2,-1,-1,0,0,0,Dismissed
Missing,South-West,Missing,Missing,-1,-1,-1,1,-1,-1,0,0,0,Granted
Missing,South-South,Missing,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,Missing,Unlawful_termination_appointment,Payment_damages,1,1,0,1,1,0,0,0,0,Granted
Missing,South-West,Missing,Payment_damages,1,-1,-1,1,-1,-1,0,0,0,Granted
Missing,South-West,Civil_petition,Payment_damages,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,South-West,Armed_robbery,Prison_term,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,South-West,Murder_manslaughter,Death,1,1,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Unlawful_possession,Missing,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-East,Unlawful_possession,Fine,1,1,0,-1,-1,-1,0,0,0,Dismissed
Missing,South-South,Unlawful_possession,Fine,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,South-South,Unlawful_possession,Fine,1,1,0,-1,-1,-1,0,0,0,Granted
Missing,South-West,Armed_robbery,Death,1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,Missing,Theft,Appeal_granted,1,1,0,1,1,0,1,0,0,Dismissed
Missing,South-West,Unlawful_possession,Fine,1,1,0,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Others,Fine,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,South-West,Armed_robbery,Death,1,1,0,1,-1,-1,0,0,0,Dismissed
North-Central,North-Central,Election_petition,Missing,1,1,0,1,1,0,1,0,0,Dismissed
Missing,FCT,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,North-West,Murder_manslaughter,Death,-1,-1,-1,1,1,0,5,0,0,Dismissed
Missing,Missing,Murder_manslaughter,Death,-1,-1,-1,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Murder_manslaughter,Death,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,South-South,Missing,Fine,-1,-1,-1,1,0,1,2,0,0,Granted
South-South,South-South,Missing,Fine,-1,-1,-1,1,-1,-1,0,0,0,Granted
Missing,North-East,Murder_manslaughter,Death,-1,-1,-1,2,-1,-1,5,0,9,Dismissed
Missing,FCT,Human_rights_violation,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-West,Missing,Missing,Appeal_granted,-1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,North-West,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,0,0,0,Granted
FCT,North-Central,Damage_property,Prison_term,-1,-1,-1,1,0,1,0,0,0,Dismissed
FCT,North-Central,Murder_manslaughter,Prison_term,-1,-1,-1,1,1,0,2,0,5,Granted
North-Central,North-Central,Theft,Payment_damages,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,North-Central,Theft,Missing,-1,-1,-1,1,-1,-1,0,0,0,Dismissed
North-West,North-West,Fraud_impersonation,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-West,South-West,Others,Fine,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
North-Central,Missing,Missing,Missing,1,-1,-1,1,-1,-1,0,0,0,Dismissed
North-West,Missing,Missing,Payment_damages,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,Missing,Unlawful_possession,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,Missing,Unlawful_possession,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,South-West,Missing,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
North-West,South-West,Unlawful_termination_appointment,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,Missing,Unlawful_termination_appointment,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
South-West,Missing,Dispute,Missing,1,1,0,1,1,0,0,0,0,Granted
Missing,South-West,Missing,Appeal_granted,-1,-1,-1,-1,-1,-1,0,0,0,Granted
South-West,Missing,Theft,Fine,1,1,0,4,-1,-1,1,0,0,Dismissed
North-West,Missing,Unlawful_termination_appointment,Fine,1,0,1,1,0,1,0,0,0,Dismissed
Missing,South-West,Murder_manslaughter,Death,1,1,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Murder_manslaughter,Death,-1,-1,-1,1,-1,-1,0,0,-1,Dismissed
Missing,Missing,Dispute,Missing,-1,-1,-1,1,1,0,4,0,0,Dismissed
Missing,South-West,Missing,Fine,-1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,South-West,Unlawful_possession,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,Missing,Law_of_tort,Fine,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-West,Missing,Armed_robbery,Prison_term,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,South-West,Murder_manslaughter,Prison_term,1,1,0,1,1,0,10,0,4,Dismissed
Missing,South-West,Theft,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,Missing,Missing,Missing,-1,-1,-1,1,-1,-1,0,0,0,Granted
Missing,Missing,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,Missing,Unlawful_termination_appointment,Fine,-1,-1,-1,1,1,0,0,0,0,Granted
North-Central,Missing,Missing,Appeal_dismissed,1,1,0,-1,-1,-1,0,0,0,Dismissed
Missing,South-West,Armed_robbery,Missing,1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,Missing,Murder_manslaughter,Death,-1,-1,-1,1,1,0,5,0,0,Dismissed
South-West,South-West,Libel,Appeal_dismissed,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Claim_for_recovery,Missing,1,-1,-1,1,-1,-1,0,0,0,Dismissed
South-West,Missing,Murder_manslaughter,Prison_term,-1,-1,-1,5,-1,-1,0,0,0,Dismissed
Missing,FCT,Armed_robbery,Death,1,1,0,1,1,0,3,0,1,Dismissed
Missing,South-West,Missing,Missing,-1,-1,-1,1,1,0,3,0,1,Dismissed
Missing,South-South,Missing,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Granted
North-West,North-West,Trespassing,Payment_damages,1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,South-West,Libel,Payment_damages,1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,Missing,Missing,Missing,1,1,0,-1,-1,-1,2,0,0,Granted
South-West,Missing,Claim_for_recovery,Missing,1,-1,-1,1,-1,-1,0,0,0,Granted
Missing,South-West,Fraud_impersonation,Prison_term_fine,1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,South-West,Unlawful_possession,Missing,1,1,0,1,1,0,0,0,0,Dismissed
Missing,South-West,Fraud_impersonation,Prison_term,1,-1,-1,-1,-1,-1,0,0,0,Granted
South-West,South-West,Armed_robbery,Death,-1,-1,-1,1,1,-1,0,0,0,Dismissed
Missing,South-West,Armed_robbery,Death,-1,-1,-1,1,1,0,1,0,0,Dismissed
Missing,Missing,Murder_manslaughter,Prison_term,-1,-1,-1,1,1,0,2,0,1,Dismissed
Missing,South-West,Unlawful_possession,Missing,-1,-1,-1,1,1,0,0,0,-1,Dismissed
North-West,Missing,Others,Missing,1,-1,-1,1,-1,-1,0,0,0,Granted
Missing,Missing,Missing,Missing,1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,South-West,Libel,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
FCT,FCT,Others,Missing,1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,Missing,Civil_petition,Missing,1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,South-West,Theft,Missing,-1,-1,-1,-1,-1,-1,-1,-1,-1,Dismissed
Missing,South-West,Missing,Missing,1,1,0,1,-1,-1,0,0,0,Dismissed
Missing,South-West,Missing,Missing,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,South-West,Unlawful_possession,Appeal_granted,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,South-West,Unlawful_possession,Fine,1,1,0,1,-1,-1,0,0,0,Dismissed
Missing,Missing,Unlawful_termination_appointment,Missing,1,1,0,1,1,0,0,0,0,Granted
South-West,South-West,Others,Appeal_dismissed,1,1,0,1,1,0,0,0,0,Granted
South-West,South-West,Theft,Payment_damages,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,South-West,Missing,Missing,-1,-1,-1,-1,-1,-1,7,0,5,Dismissed
Missing,Missing,Murder_manslaughter,Missing,1,-1,-1,2,-1,-1,0,0,0,Granted
Missing,Missing,Murder_manslaughter,Prison_term,-1,-1,-1,1,1,0,4,0,0,Dismissed
FCT,North-Central,Fraud_impersonation,Missing,-1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,South-West,Missing,Appeal_granted,1,1,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Unlawful_possession,Payment_damages,1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,South-West,Unlawful_possession,Missing,1,1,0,1,1,0,0,0,0,Granted
Missing,South-West,Missing,Missing,1,1,0,1,1,0,0,0,0,Granted
Missing,Missing,Unlawful_possession,Fine,-1,-1,-1,-1,-1,-1,-1,-1,-1,Granted
Missing,South-West,Dispute,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-West,Missing,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,Missing,Theft,Payment_damages,-1,-1,-1,2,2,0,4,0,0,Dismissed
Missing,South-West,Unlawful_possession,Fine,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,South-West,Missing,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,Missing,Others,Missing,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,Missing,Court_order_violation,Appeal_dismissed,-1,-1,-1,-1,-1,-1,0,0,0,Granted
South-South,South-East,Claim_for_recovery,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-West,South-West,Election_petition,Payment_damages,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,Missing,Missing,Payment_damages,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-West,Missing,Others,Payment_damages,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,South-South,Theft,Appeal_granted,-1,-1,-1,-1,-1,-1,0,0,0,Granted
South-West,Missing,Missing,Appeal_granted,1,1,0,-1,-1,-1,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,Missing,Law_of_tort,Payment_damages,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-West,South-West,Others,Appeal_granted,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-South,South-South,Unlawful_possession,Missing,1,-1,-1,1,-1,-1,0,0,0,Dismissed
Missing,Missing,Others,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,Missing,Civil_petition,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,Missing,Unlawful_termination_appointment,Appeal_dismissed,-1,-1,-1,3,-1,-1,0,0,0,Dismissed
Missing,South-West,Unlawful_termination_appointment,Missing,1,1,0,-1,-1,-1,0,0,0,Granted
South-South,South-South,Human_rights_violation,Missing,1,-1,-1,-1,-1,-1,0,0,0,Granted
South-South,South-South,Unlawful_possession,Fine,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-South,Missing,Unlawful_possession,Fine,-1,-1,-1,1,-1,-1,0,0,0,Granted
South-South,South-South,Theft,Fine,-1,-1,-1,-1,-1,-1,0,0,0,Granted
South-South,South-South,Unlawful_possession,Fine,1,1,0,2,2,0,0,0,0,Dismissed
Missing,South-South,Damage_property,Fine,-1,-1,-1,1,-1,-1,9,0,5,Granted
Missing,Missing,Missing,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Granted
South-South,South-South,Unlawful_possession,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,South-West,Missing,Payment_damages,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-South,South-South,Missing,Fine,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,North-West,Theft,Prison_term_fine,1,1,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Missing,Missing,1,1,0,1,1,0,0,0,0,Dismissed
Missing,Missing,Dispute,Payment_damages,-1,-1,-1,1,-1,-1,0,0,0,Dismissed
South-West,South-West,Missing,Appeal_granted,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,Missing,Missing,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-South,South-West,Missing,Payment_damages,-1,-1,-1,1,1,0,6,0,0,Granted
Missing,South-South,Missing,Fine,7,-1,-1,7,-1,-1,0,0,0,Dismissed
Missing,North-East,Armed_robbery,Appeal_granted,1,1,0,-1,-1,-1,0,0,0,Dismissed
North-West,Missing,Armed_robbery,Death,1,1,0,-1,-1,-1,0,0,0,Dismissed
South-East,South-East,Murder_manslaughter,Death,-1,-1,-1,1,1,0,10,0,1,Dismissed
Missing,North-Central,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,South-South,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,3,0,1,Granted
South-West,Missing,Armed_robbery,Death,-1,-1,-1,-1,-1,-1,1,0,0,Granted
South-South,Missing,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,5,0,0,Dismissed
Missing,Missing,Murder_manslaughter,Prison_term,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,North-Central,Civil_petition,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,North-West,Rape_sexual_abuse,Prison_term,-1,-1,-1,-1,-1,-1,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Granted
South-East,South-South,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,8,0,9,Dismissed
North-West,North-West,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-East,South-East,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,0,0,0,Granted
North-West,North-West,Murder_manslaughter,Prison_term,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,North-West,Murder_manslaughter,Appeal_granted,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-East,South-East,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-South,South-South,Armed_robbery,Death,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,South-South,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,3,0,2,Granted
North-West,Missing,Armed_robbery,Death,-1,-1,-1,-1,-1,-1,0,0,0,Granted
South-West,South-West,Armed_robbery,Prison_term,-1,-1,-1,-1,-1,-1,4,0,2,Granted
South-West,Missing,Armed_robbery,Prison_term,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,North-Central,Missing,Prison_term,-1,-1,-1,-1,-1,-1,5,0,0,Dismissed
North-West,North-West,Armed_robbery,Death,1,1,0,-1,-1,-1,9,0,0,Granted
North-West,North-West,Armed_robbery,Death,-1,-1,-1,-1,-1,-1,8,0,1,Dismissed
North-West,Missing,Armed_robbery,Prison_term,-1,-1,-1,-1,-1,-1,0,0,0,Granted
Missing,South-West,Armed_robbery,Death,-1,-1,-1,-1,-1,-1,2,0,0,Dismissed
FCT,North-Central,Armed_robbery,Prison_term,-1,-1,-1,-1,-1,-1,4,0,1,Granted
South-West,South-West,Murder_manslaughter,Prison_term,-1,-1,-1,1,1,0,0,2,0,Dismissed
North-East,North-East,Armed_robbery,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Granted
North-West,North-West,Missing,Missing,-1,-1,-1,1,1,0,0,0,0,Dismissed
North-West,North-West,Rape_sexual_abuse,Prison_term,1,0,1,1,1,0,0,0,0,Dismissed
North-West,North-West,Armed_robbery,Death,-1,-1,-1,3,3,0,4,0,0,Dismissed
North-West,North-West,Murder_manslaughter,Death,-1,-1,-1,-1,-1,-1,7,0,0,Dismissed
Missing,South-East,Theft,Missing,1,1,0,2,2,0,0,0,0,Dismissed
FCT,Missing,Armed_robbery,Death,1,1,0,5,5,0,0,3,5,Dismissed
FCT,North-Central,Murder_manslaughter,Missing,1,1,0,3,3,0,0,2,0,Dismissed
South-South,South-East,Murder_manslaughter,Death,-1,-1,-1,6,6,0,0,0,0,Dismissed
South-East,South-East,Curroption_abuse_office,Prison_term_fine,-1,-1,-1,1,1,0,0,0,0,Granted
South-East,South-East,Murder_manslaughter,Appeal_granted,-1,-1,-1,2,2,0,6,0,0,Granted
South-West,South-West,Murder_manslaughter,Prison_term,-1,-1,-1,5,5,0,0,2,0,Granted
South-West,South-West,Unlawful_possession,Missing,1,1,0,1,1,0,0,4,0,Dismissed
Missing,Missing,Unlawful_possession,Prison_term,-1,-1,-1,9,9,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Prison_term,-1,-1,-1,1,1,0,3,0,0,Granted
Missing,South-West,Theft,Missing,-1,-1,-1,1,1,0,0,0,0,Granted
Missing,Missing,Missing,Missing,-1,-1,-1,1,1,0,0,0,0,Dismissed
North-West,North-West,Armed_robbery,Death,1,1,0,8,8,0,0,0,1,Dismissed
North-West,Missing,Armed_robbery,Death,-1,-1,-1,5,5,0,0,0,0,Dismissed
Missing,South-West,Armed_robbery,Missing,1,1,0,1,1,0,0,0,0,Dismissed
North-West,North-West,Armed_robbery,Death,1,1,0,2,2,0,0,1,0,Dismissed
Missing,Missing,Murder_manslaughter,Prison_term,-1,-1,-1,1,1,0,5,0,1,Dismissed
South-South,South-South,Murder_manslaughter,Death,-1,-1,-1,2,2,0,0,0,0,Granted
South-South,South-South,Murder_manslaughter,Death,-1,-1,-1,1,1,0,0,0,0,Dismissed
North-West,North-West,Armed_robbery,Death,-1,-1,-1,6,6,0,0,3,8,Dismissed
Missing,South-West,Fraud_impersonation,Missing,-1,-1,-1,6,6,0,0,0,0,Granted
Missing,South-West,Missing,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Granted
North-West,North-West,Armed_robbery,Missing,-1,-1,-1,6,6,0,0,0,8,Granted
South-West,South-West,Fraud_impersonation,Prison_term,-1,-1,-1,1,1,0,8,0,0,Dismissed
South-West,South-West,Missing,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,Missing,Missing,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
Missing,Missing,Murder_manslaughter,Death,1,0,1,1,1,0,0,1,0,Dismissed
Missing,South-South,Armed_robbery,Prison_term,-1,-1,-1,2,2,0,0,0,0,Dismissed
South-West,Missing,Unlawful_possession,Prison_term_fine,1,1,0,1,1,0,0,0,0,Dismissed
Missing,North-West,Trespassing,Fine,1,1,0,1,1,0,0,0,0,Granted
Missing,Missing,Missing,Missing,1,0,1,2,2,0,0,0,0,Granted
South-South,Missing,Unlawful_termination_appointment,Others,-1,-1,-1,1,1,0,0,0,0,Dismissed
Missing,Missing,Missing,Missing,1,1,0,1,1,0,0,0,0,Granted
FCT,North-Central,Armed_robbery,Others,1,1,0,4,4,0,3,0,0,Granted
North-Central,North-Central,Murder_manslaughter,Death,1,0,1,1,0,1,0,0,0,Dismissed
South-West,Missing,Libel,Missing,1,1,0,1,1,0,0,0,0,Dismissed
FCT,North-Central,Murder_manslaughter,Missing,-1,-1,-1,6,6,0,0,0,0,Dismissed
FCT,North-Central,Murder_manslaughter,Prison_term,-1,-1,-1,4,4,0,8,0,0,Dismissed
North-Central,Missing,Armed_robbery,Prison_term,1,1,0,4,4,0,1,1,1,Dismissed
North-Central,North-Central,Armed_robbery,Missing,1,1,0,2,2,0,0,0,0,Granted
FCT,Missing,Fraud_impersonation,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-South,South-East,Missing,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Dismissed
South-West,South-West,Unlawful_possession,Prison_term,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,-1,-1,-1,1,1,0,0,0,0,Dismissed
South-West,South-West,Missing,Missing,1,1,0,1,1,0,0,0,0,Dismissed
South-West,Missing,Missing,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Granted
South-West,South-West,Missing,Missing,-1,-1,-1,-1,-1,-1,0,0,0,Granted
South-South,Missing,Election_petition,Missing,1,1,0,1,1,0,0,0,0,Dismissed
